Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
311,singin rain,1952,spoof turmoil afflicted movie industry late 1920s movie went silent sound two silent movie star lockwood lina lamont latest movie made musical chorus girl brought dub linas speaking singing top world lina find,100,95.0,clever incisive funny singin rain masterpiece classical hollywood musical,64,100000,classic,g,comedy musical,english,stanley donen gene kelly,arthur freed,betty comden adolph green,apr 10 1952 wide,mar 1 2014,239k,1h 42m,metro goldwyn mayer,mono,flat 1371,unknown,gene kelly debbie reynolds donald oconnor jean hagen millard mitchell rita moreno douglas fowley cyd charisse madge blake king donovan stanley donen gene kelly betty comden adolph green arthur freed nacio herb brown adrienne fazan randall duell
312,quiet western front,1930,film follows group german schoolboy talked enlisting beginning world war jingoistic teacher story told entirely experience young german recruit highlight tragedy war eye individual,98,89.0,director lewis milestone brilliant antiwar polemic headlined unforgettable performance lew ayres lay bare tragic foolishness heart war,80,10000,classic,unknown,war,english,lewis milestone,carl laemmle jr,erich maria remarque lewis milestone,unknown,apr 22 2014,unknown,1h 45m,universal picture,unknown,unknown,unknown,lew ayres louis wolheim raymond griffith slim summerville russell gleason william bakewell scott kolk walter rogers ben alexander lewis milestone erich maria remarque george abbott del andrew maxwell anderson maxwell anderson lewis milestone carl laemmle jr arthur edeson
314,waterfront,1954,dockworker terry malloy marlon brando upandcoming boxer powerful local mob bos johnny friendly lee j cobb persuaded throw fight longshoreman murdered testify friendly control hoboken waterfront terry team dead man sister edie eva marie saint streetwise priest father barry karl malden testify advice friendly lawyer terry older brother charley rod steiger,99,95.0,electrifying performance elia kazan thoughtprovoking expertly constructed melodrama marlon brando redefined possibility acting film helped permanently alter cinematic landscape,100,50000,classic,unknown,drama,english,elia kazan,sam spiegel,budd schulberg,unknown,jan 14 2014,unknown,1h 48m,columbia picture corporation,mono,35mm,unknown,marlon brando eva marie saint karl malden lee j cobb rod steiger leif erickson pat henning james westerfield tony galento tami mauriello elia kazan budd schulberg budd schulberg sam spiegel leonard bernstein boris kaufman gene milford mary roche
315,kid,1921,chaplin first fulllength feature silent masterpiece little tramp discovers little orphan brings left desolate orphanage reclaims chaplin directed produced starred film well composed score,100,95.0,charles chaplin irascible tramp given able support jackie coogan kid slapstick masterpiece balancing guffaw moment disarming poignancy,44,10000,classic,unknown,comedy drama,unknown,charlie chaplin,charlie chaplin,charlie chaplin,unknown,sep 2 2016,unknown,1h,charles chaplin production,unknown,unknown,unknown,charlie chaplin jack coogan edna purviance carl miller granville redmond may white tom wilson henry bergman charles reisner raymond lee charlie chaplin charlie chaplin charlie chaplin
319,psycho,1960,phoenix secretary marion crane janet leigh lam stealing 40000 employer order run away boyfriend sam loomis john gavin overcome exhaustion heavy rainstorm traveling back road avoid police stop night ramshackle bates motel meet polite highly strung proprietor norman bates anthony perkins young man interest taxidermy difficult relationship mother,96,95.0,infamous shower scene immortal contribution horror genre psycho filmed tact grace art hitchcock didnt create modern horror validated,103,100000,classic,r,mystery thriller horror,english,alfred hitchcock,alfred hitchcock,joseph stefano,unknown,feb 12 2014,unknown,1h 49m,paramount,mono,unknown,unknown,anthony perkins janet leigh vera mile john gavin martin balsam john mcintire simon oakland john anderson frank albertson patricia hitchcock alfred hitchcock robert bloch joseph stefano alfred hitchcock bernard herrmann john l russell george tomasini
320,laura,1944,one celebrated 1940s film noirs manhattan detective mark mcpherson dana andrew investigates murder madison avenue executive laura hunt gene tierney fashionable apartment trail murderer mcpherson quiz lauras arrogant best friend gossip columnist waldo lydecker clifton webb comparatively mild fiancé shelby carpenter vincent price detective grows obsessed case find falling love dead woman,100,91.0,psychologically complex portrait obsession laura also deliciously wellcrafted murder mystery,65,10000,classic,unknown,mystery thriller,english,otto preminger,otto preminger,jay dratler samuel hoffenstein elizabeth reinhardt,unknown,nov 25 2015,unknown,1h 28m,twentieth century fox,unknown,unknown,unknown,gene tierney dana andrew clifton webb vincent price judith anderson james flavin clyde fillmore ralph dunn grant mitchell otto preminger otto preminger jay dratler samuel hoffenstein elizabeth reinhardt david raksin louis r loeffler leland fuller lyle r wheeler
321,shadow doubt,1943,uncle charlie joseph cotten visit relative santa rosa charming man niece slowly realizes wanted murder soon recognizes suspicion although one suspected murderer killed case considered closed still suspicion,100,89.0,alfred hitchcock earliest classic personal favorite deal fleshcrawling thrill deftly finely shaded character,47,10000,classic,pg,crime drama mystery thriller,english,alfred hitchcock,jack h skirball,thornton wilder sally benson alma reville,jan 1 1943 wide,apr 19 2016,unknown,1h 48m,universal picture,mono,flat 1371,unknown,teresa wright joseph cotten hume cronyn macdonald carey henry travers patricia collinge edna may wonacott wallace ford irving bacon charles bates alfred hitchcock gordon mcdonell thornton wilder sally benson alma reville jack h skirball dimitri tiomkin joseph valentine milton carruth robert f boyle
322,sunset blvd,1950,aging silent film queen refuse accept stardom ended hire young screenwriter help set movie comeback screenwriter belief manipulate soon find wrong screenwriter ambivalence relationship unwillingness let go lead situation violence madness death,99,95.0,arguably greatest movie hollywood billy wilder masterpiece sunset boulevard tremendously entertaining combination noir black comedy character study,71,50000,classic,unknown,drama,english,billy wilder,charles brackett,charles brackett dm marshman jr billy wilder,aug 10 1950 wide,aug 10 2016,unknown,1h 50m,paramount picture,unknown,flat 1371,unknown,william holden gloria swanson erich von stroheim nancy olson fred clark jack webb hedda hopper buster keaton cecil b demille anna q nilsson billy wilder charles brackett dm marshman jr billy wilder charles brackett franz waxman john f seitz doane harrison arthur p schmidt
323,hard day night,1964,beatles feature film debut one greatest rockandroll comedy adventure ever film fully restored negative digitally restored soundtrack film take justleftofreality style mockdocumentary following day life john paul george ringo fame take storm,98,89.0,hard day night despite age still delight watch proven rockandroll movie classic,109,50000,classic,g,comedy musical,english,richard lester,walter shenson,alun owen,aug 11 1964 wide,aug 10 2016,unknown,1h 23m,proscenium film,stereo surround,flat 1661,unknown,beatles wilfrid brambell norman rossington victor spinetti anna quayle deryck guyler eddie malin robin ray richard lester alun owen dennis odell walter shenson john lennon paul mccartney gilbert taylor john jympson ray simm
325,top hat,1935,story center wealthy dale tremont ginger rogers holiday london venice assumes american entertainer jerry travers fred astaire husband friend madge helen broderick who actually wife jerry business manager horace hardwick edward everett horton,100,91.0,glamorous enthralling depressionera diversion top hat nearly flawless acrobatics fred astaire ginger rogers make hardest physical stunt seem light air,42,5000,classic,unknown,romance musical,english,mark sandrich,pandro berman,károly nóti allan scott,sep 6 1935 wide,aug 18 2008,unknown,1h 39m,rko radio picture inc,mono,flat 1371,unknown,fred astaire ginger rogers edward everett horton helen broderick eric blore erik rhodes mark sandrich aladar laszlo allan scott dwight taylor pandro berman irving berlin william hamilton carroll clark
326,north northwest,1959,classic suspense film find new york city ad executive roger thornhill cary grant pursued ruthless spy phillip vandamm james mason thornhill mistaken government agent hunted relentlessly vandamms associate harried thornhill end crosscountry journey meeting beautiful mysterious eve kendall eva marie saint along way soon vandamms henchman close thornhill resulting number iconic action sequence,99,94.0,gripping suspenseful visually iconic lateperiod hitchcock classic laid groundwork countless action thriller follow,79,50000,classic,unknown,mystery thriller,english,alfred hitchcock,alfred hitchcock,ernest lehman,jul 17 1959 wide,nov 17 2009,unknown,2h 16m,metro goldwyn mayer,mono,flat 1661,unknown,cary grant eva marie saint james mason leo g carroll martin landau jessie royce landis philip ober adam williams josephine hutchinson edward platt alfred hitchcock ernest lehman herbert coleman alfred hitchcock bernard herrmann robert burk george tomasini robert f boyle william horning merrill pye
327,philadelphia story,1940,classic romantic comedy focus tracy lord katharine hepburn philadelphia socialite split husband ck dexter cary grant due drinking overly demanding nature tracy prepares wed wealthy george kittredge john howard cross path dexter prying reporter macaulay connor james stewart unclear feeling three men tracy must decide truly love,100,93.0,offering wonderfully witty script spotless direction george cukor typically excellent lead performance philadelphia story unqualified classic,63,25000,classic,unknown,romance,english,george cukor,joseph l mankiewicz,philip barry donald ogden stewart waldo salt,unknown,aug 15 2008,unknown,1h 52m,metro goldwyn mayer,mono,unknown,unknown,cary grant katharine hepburn james stewart ruth hussey roland young john halliday virginia weidler mary nash henry daniell george cukor donald ogden stewart waldo salt joseph l mankiewicz franz waxman joseph ruttenberg frank sullivan cedric gibbon edwin b willis
329,12 angry men,1957,following closing argument murder trial 12 member jury must deliberate guilty verdict meaning death accused innercity teen dozen men try reach unanimous decision sequestered room one juror henry fonda cast considerable doubt element case personal issue soon rise surface conflict threatens derail delicate process decide one boy fate,100,97.0,sidney lumets feature debut superbly written dramatically effective courtroom thriller rightfully stand modern classic,55,100000,classic,unknown,drama,english,sidney lumet,henry fonda reginald rose,reginald rose,unknown,jan 13 2017,unknown,1h 35m,orionnova picture,unknown,unknown,unknown,henry fonda lee j cobb eg marshall jack klugman martin balsam joseph sweeney george voskovec robert webber sidney lumet henry fonda reginald rose reginald rose boris kaufman carl lerner
